lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m,expected_power_kw,in_operating_range
51.35,7.15,2026-06-18T21:00,8.1,142,1541.9282580027452,True
51.55,3.35,2026-06-18T21:00,2.7,94,0.0,False
51.55,3.55,2026-06-18T21:00,2.4,82,0.0,False
51.55,3.75,2026-06-18T21:00,3.3,58,80.29779070404803,True
51.55,3.95,2026-06-18T21:00,2.6,63,0.0,False
51.55,4.15,2026-06-18T21:00,3.7,74,108.4262887538757,True
51.55,4.35,2026-06-18T21:00,5.3,97,421.0997163374372,True
51.55,4.55,2026-06-18T21:00,6.6,79,850.6394442456975,True
51.55,4.75,2026-06-18T21:00,5.0,77,344.2085559582246,True
51.55,4.95,2026-06-18T21:00,3.7,39,108.4262887538757,True
51.55,5.15,2026-06-18T21:00,5.5,25,472.360489923579,True
51.55,5.35,2026-06-18T21:00,5.8,12,563.539318197362,True
51.55,5.55,2026-06-18T21:00,6.4,18,772.8426675868236,True
51.55,5.75,2026-06-18T21:00,7.7,23,1347.0333783539224,True
51.55,5.95,2026-06-18T21:00,7.1,54,1060.3684937973385,True
51.55,6.15,2026-06-18T21:00,7.4,51,1201.54671416659,True
51.55,6.35,2026-06-18T21:00,7.1,53,1060.3684937973385,True
51.55,6.55,2026-06-18T21:00,6.7,60,891.3068549361705,True
51.55,6.75,2026-06-18T21:00,7.3,65,1154.4873073768395,True
51.55,6.95,2026-06-18T21:00,6.1,58,661.4545696816189,True
51.55,7.15,2026-06-18T21:00,3.8,58,119.28447849570006,True
51.75,3.35,2026-06-18T21:00,0.8,70,0.0,False
51.75,3.55,2026-06-18T21:00,1.4,19,0.0,False
51.75,3.75,2026-06-18T21:00,1.7,37,0.0,False
51.75,3.95,2026-06-18T21:00,2.8,44,0.0,False
51.75,4.15,2026-06-18T21:00,4.2,52,178.06763028297286,True
51.75,4.35,2026-06-18T21:00,5.3,55,421.0997163374372,True
51.75,4.55,2026-06-18T21:00,5.9,65,593.93226095529,True
51.75,4.75,2026-06-18T21:00,5.6,37,502.7534326815066,True
51.75,4.95,2026-06-18T21:00,6.1,32,661.4545696816189,True
51.75,5.15,2026-06-18T21:00,6.0,30,624.3252037132175,True
51.75,5.35,2026-06-18T21:00,6.3,31,735.713301618422,True
51.75,5.55,2026-06-18T21:00,5.1,24,369.8389427512954,True
51.75,5.75,2026-06-18T21:00,5.1,24,369.8389427512954,True
51.75,5.95,2026-06-18T21:00,6.3,45,735.713301618422,True
51.75,6.15,2026-06-18T21:00,6.5,54,809.972033555225,True
51.75,6.35,2026-06-18T21:00,6.7,58,891.3068549361705,True
51.75,6.55,2026-06-18T21:00,7.2,62,1107.4279005870892,True
51.75,6.75,2026-06-18T21:00,6.9,62,972.6416763171159,True
51.75,6.95,2026-06-18T21:00,7.9,60,1445.4606357515047,True
51.75,7.15,2026-06-18T21:00,6.2,60,698.5839356500206,True
51.95,3.35,2026-06-18T21:00,1.3,122,0.0,False
51.95,3.55,2026-06-18T21:00,0.6,61,0.0,False
51.95,3.75,2026-06-18T21:00,2.2,333,0.0,False
51.95,3.95,2026-06-18T21:00,3.4,344,83.50384998713747,True
51.95,4.15,2026-06-18T21:00,3.9,358,130.14266823752445,True
51.95,4.35,2026-06-18T21:00,4.1,27,159.53424413116076,True
51.95,4.55,2026-06-18T21:00,4.6,40,255.77594218237186,True
51.95,4.75,2026-06-18T21:00,4.6,28,255.77594218237186,True
51.95,4.95,2026-06-18T21:00,6.2,18,698.5839356500206,True
51.95,5.15,2026-06-18T21:00,5.9,21,593.93226095529,True
51.95,5.35,2026-06-18T21:00,5.1,34,369.8389427512954,True
51.95,5.55,2026-06-18T21:00,6.7,25,891.3068549361705,True
51.95,5.75,2026-06-18T21:00,7.2,15,1107.4279005870892,True
51.95,5.95,2026-06-18T21:00,5.0,29,344.2085559582246,True
51.95,6.15,2026-06-18T21:00,5.4,46,446.7301031305082,True
51.95,6.35,2026-06-18T21:00,5.4,67,446.7301031305082,True
51.95,6.55,2026-06-18T21:00,5.3,56,421.0997163374372,True
51.95,6.75,2026-06-18T21:00,5.7,51,533.1463754394345,True
51.95,6.95,2026-06-18T21:00,6.1,60,661.4545696816189,True
51.95,7.15,2026-06-18T21:00,6.7,65,891.3068549361705,True
52.15,3.35,2026-06-18T21:00,3.3,170,80.29779070404803,True
52.15,3.55,2026-06-18T21:00,1.5,178,0.0,False
52.15,3.75,2026-06-18T21:00,1.0,324,0.0,False
52.15,3.95,2026-06-18T21:00,1.2,322,0.0,False
52.15,4.15,2026-06-18T21:00,2.4,356,0.0,False
52.15,4.35,2026-06-18T21:00,1.8,15,0.0,False
52.15,4.55,2026-06-18T21:00,4.3,347,196.60101643478475,True
52.15,4.75,2026-06-18T21:00,4.4,18,215.13440258659685,True
52.15,4.95,2026-06-18T21:00,4.8,14,299.99224907029827,True
52.15,5.15,2026-06-18T21:00,5.2,30,395.4693295443664,True
52.15,5.35,2026-06-18T21:00,6.7,10,891.3068549361705,True
52.15,5.55,2026-06-18T21:00,6.4,21,772.8426675868236,True
52.15,5.75,2026-06-18T21:00,6.7,12,891.3068549361705,True
52.15,5.95,2026-06-18T21:00,5.4,359,446.7301031305082,True
52.15,6.15,2026-06-18T21:00,4.4,359,215.13440258659685,True
52.15,6.35,2026-06-18T21:00,4.2,28,178.06763028297286,True
52.15,6.55,2026-06-18T21:00,3.5,62,86.70990927022692,True
52.15,6.75,2026-06-18T21:00,3.5,66,86.70990927022692,True
52.15,6.95,2026-06-18T21:00,3.4,61,83.50384998713747,True
52.15,7.15,2026-06-18T21:00,4.6,60,255.77594218237186,True
52.35,3.35,2026-06-18T21:00,6.5,172,809.972033555225,True
52.35,3.55,2026-06-18T21:00,5.6,169,502.7534326815066,True
52.35,3.75,2026-06-18T21:00,4.5,179,233.66778873840877,True
52.35,3.95,2026-06-18T21:00,3.2,225,77.09173142095858,True
52.35,4.15,2026-06-18T21:00,2.3,244,0.0,False
52.35,4.35,2026-06-18T21:00,1.4,330,0.0,False
52.35,4.55,2026-06-18T21:00,1.2,9,0.0,False
52.35,4.75,2026-06-18T21:00,1.5,335,0.0,False
52.35,4.95,2026-06-18T21:00,1.9,11,0.0,False
52.35,5.15,2026-06-18T21:00,4.6,27,255.77594218237186,True
