wind_speed_ms,power_kw_mean,power_kw_std,count
0.0,0.0,0.0,121
0.5,0.0,0.0,703
1.0,0.00041140714597825024,0.01403012977998316,1163
1.5,0.010589530819139888,0.21326695932698475,1616
2.0,0.14716069516125785,1.3146604556356682,1979
2.5,1.5730170662284688,5.525337922510355,2167
3.0,70.67961285477969,18.872696871914822,118
3.5,86.70990927022692,31.01143633999866,994
4.0,141.00085797934884,45.077411320223156,1747
4.5,233.66778873840877,60.39551139848954,1757
5.0,344.2085559582246,71.58394229475304,1815
5.5,472.360489923579,97.33981784213847,2107
6.0,624.3252037132175,106.43912819704639,2275
6.5,809.972033555225,137.68547816497505,2325
7.0,1013.3090870075883,176.8864659007112,2302
7.5,1248.6061209563402,210.0524714901109,2177
8.0,1494.6742644502956,275.23541119618875,2026
8.5,1730.9442322125449,353.99111426894734,1797
9.0,1994.5075560844232,366.94188875525066,1685
9.5,2231.9187444725085,402.7409144867493,1547
10.0,2488.343223478072,388.7458128871824,1547
10.5,2737.1513737599616,347.142706100954,1487
11.0,2969.795857904585,339.73635023577594,1359
11.5,3191.32241054219,278.4720726445908,1293
12.0,3352.9493472007644,296.05538766991117,1124
12.5,3459.704155311153,324.8736370659798,1068
13.0,3500.8323088352554,359.3037810604863,881
13.5,3507.862845054467,349.9549353122885,682
14.0,3517.6992971360983,409.336215489057,547
14.5,3431.669293586573,610.7826120632634,490
15.0,3516.3897075201075,391.02239584749685,422
15.5,3495.992227147488,432.9776662455296,361
16.0,3494.1312072753876,428.2030528443012,320
16.5,3518.862511879154,313.8042087874302,242
17.0,3541.7287811419906,210.1487653898456,217
17.5,3563.851590626798,62.464396394978905,217
18.0,3546.2676839192686,151.54287079559575,210
18.5,3546.6430040861405,213.00434211949982,190
19.0,3553.650077774136,144.5422615462338,167
19.5,3572.1762677227985,56.94681309530623,135
20.0,3563.7376671230645,62.04963294515673,97
20.5,3570.665315998132,58.37106050580081,67
21.0,3561.5704380580332,64.08032856535807,35
21.5,3561.4876302083308,65.06392548807553,21
