lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m
51.95,4.55,2026-06-18T21:00,4.6,40
51.95,4.75,2026-06-18T21:00,4.6,28
51.95,4.95,2026-06-18T21:00,6.2,18
51.95,5.15,2026-06-18T21:00,5.9,21
51.95,5.35,2026-06-18T21:00,5.1,34
51.95,5.55,2026-06-18T21:00,6.7,25
51.95,5.75,2026-06-18T21:00,7.2,15
51.95,5.95,2026-06-18T21:00,5.0,29
51.95,6.15,2026-06-18T21:00,5.4,46
51.95,6.35,2026-06-18T21:00,5.4,67
51.95,6.55,2026-06-18T21:00,5.3,56
51.95,6.75,2026-06-18T21:00,5.7,51
51.95,6.95,2026-06-18T21:00,6.1,60
51.95,7.15,2026-06-18T21:00,6.7,65
52.15,3.35,2026-06-18T21:00,3.3,170
52.15,3.55,2026-06-18T21:00,1.5,178
52.15,3.75,2026-06-18T21:00,1.0,324
52.15,3.95,2026-06-18T21:00,1.2,322
52.15,4.15,2026-06-18T21:00,2.4,356
52.15,4.35,2026-06-18T21:00,1.8,15
52.15,4.55,2026-06-18T21:00,4.3,347
52.15,4.75,2026-06-18T21:00,4.4,18
52.15,4.95,2026-06-18T21:00,4.8,14
52.15,5.15,2026-06-18T21:00,5.2,30
52.15,5.35,2026-06-18T21:00,6.7,10
52.15,5.55,2026-06-18T21:00,6.4,21
52.15,5.75,2026-06-18T21:00,6.7,12
52.15,5.95,2026-06-18T21:00,5.4,359
52.15,6.15,2026-06-18T21:00,4.4,359
52.15,6.35,2026-06-18T21:00,4.2,28
52.15,6.55,2026-06-18T21:00,3.5,62
52.15,6.75,2026-06-18T21:00,3.5,66
52.15,6.95,2026-06-18T21:00,3.4,61
52.15,7.15,2026-06-18T21:00,4.6,60
52.35,3.35,2026-06-18T21:00,6.5,172
52.35,3.55,2026-06-18T21:00,5.6,169
52.35,3.75,2026-06-18T21:00,4.5,179
52.35,3.95,2026-06-18T21:00,3.2,225
52.35,4.15,2026-06-18T21:00,2.3,244
52.35,4.35,2026-06-18T21:00,1.4,330
52.35,4.55,2026-06-18T21:00,1.2,9
52.35,4.75,2026-06-18T21:00,1.5,335
